"KPI Name","Definition","Formula","Power BI Element"
"Total Movements","Total count of flight movements (arrivals & departures) across the selected filter scope.","Total Movements = COUNTROWS(FactFlightMovements)","Card / KPI Badge (Header Sub-bar & Tooltips)"
"Wake Category Volume","Number of flights classified under a specific wake category (Heavy, Medium, Light, Jet).","Wake Category Movements = CALCULATE([Total Movements], FactFlightMovements[WakeCategory] = SELECTEDVALUE(DimWakeCategory[WakeCategory]))","Donut Chart / Clustered Bar Chart (Visual 1 & Visual 3)"
"Wake Category Share (%)","Proportion of flights belonging to a specific wake category relative to all filtered flights.","Wake Share % = DIVIDE([Wake Category Movements], CALCULATE([Total Movements], ALLSELECTED(DimWakeCategory)), 0)","Donut Chart (Flight Distribution by Wake Category)"
"Arrival Leader-Follower Pair Volume","Count of consecutive arrival pairs on the same runway with a specific Leader and Follower wake category.","Pair Count = CALCULATE(COUNTROWS(FactArrivalPairs), FactArrivalPairs[LeaderWake] = SELECTEDVALUE(DimLeaderWake[LeaderWake]), FactArrivalPairs[FollowerWake] = SELECTEDVALUE(DimFollowerWake[FollowerWake]))","Stacked Column Chart (Proportion of Arrival Wake Category Pairs)"
"Arrival Wake Pair Proportion (%)","Percentage share of an arrival wake category pair (e.g., M-M, H-M, M-H) relative to total arrival pairs.","Arrival Pair % = DIVIDE([Pair Count], CALCULATE(COUNTROWS(FactArrivalPairs), ALLSELECTED(FactArrivalPairs)), 0)","Stacked Column Chart (Proportion of Arrival Wake Category Pairs)"
"High Wake Separation Penalty Rate (%)","Share of arrival pairs subject to maximum wake turbulence spacing penalties (e.g., Light following Heavy/Medium, Jet following Heavy).","High Penalty Pair % = DIVIDE(CALCULATE([Pair Count], DimWakeStandard[SeparationNM] >= 5.0), CALCULATE(COUNTROWS(FactArrivalPairs), ALLSELECTED(FactArrivalPairs)), 0)","KPI Card / Tooltip Callout"
"Runway Traffic Volume","Total flight movements handled on a specific runway direction (15L, 33R, 15C, 33C, 15R, 33L).","Runway Volume = CALCULATE([Total Movements], FactFlightMovements[RunwayDirection] = SELECTEDVALUE(DimRunway[RunwayDirection]))","Stacked Bar / Column Chart (Visual 3 & Visual 4)"
"Runway Wake Share of Total Airport Traffic (%)","Proportion of total airport movements across all runways attributed to a specific runway and wake category.","Runway Wake Share % = DIVIDE(CALCULATE([Total Movements], FactFlightMovements[RunwayDirection] = SELECTEDVALUE(DimRunway[RunwayDirection]), FactFlightMovements[WakeCategory] = SELECTEDVALUE(DimWakeCategory[WakeCategory])), CALCULATE([Total Movements], ALLSELECTED(DimRunway), ALLSELECTED(DimWakeCategory)), 0)","Stacked Bar / Column Chart (Traffic Mix Distribution by Runway Direction)"
"Hourly Runway Traffic Volume","Number of flight movements recorded on a runway during a specific hour of the day (0-23).","Hourly Runway Volume = CALCULATE([Total Movements], FactFlightMovements[HourOfDay] = SELECTEDVALUE(DimTime[HourOfDay]))","Stacked Column Chart Grid (6 Visuals) (Traffic Mix Distribution by Runway Direction by Hour)"
"Runway Peak Hourly Volume","The highest number of movements observed in a single one-hour window on a runway.","Runway Peak Volume = MAXX(VALUES(DimTime[HourOfDay]), [Hourly Runway Volume])","Visual Header / Subtitle Tag on each of the 6 hourly runway charts"
